method,doi,pdf
PRSice-2,10.1093/gigascience/giz082,
LDpred2,10.1093/bioinformatics/btaa1029,
PRS-CS,10.1038/s41467-019-09718-5,
LDSC,10.1038/ng.3211,
LDSC,10.1038/ng.3406,
Partitioned LDSC,10.1038/ng.3404,
SuSiE,10.1371/journal.pgen.1010299,
FINEMAP,10.1093/bioinformatics/btw018,
TwoSampleMR,10.7554/eLife.34408,
MR-PRESSO,10.1038/s41588-018-0099-7,
REGENIE,10.1038/s41588-021-00870-7,
PLINK2,10.1186/s13742-015-0047-8,
Fine-mapping for Related Samples,https://pubmed.ncbi.nlm.nih.gov/41269279/,
Fine-mapping Stability Analysis,https://pubmed.ncbi.nlm.nih.gov/41838038/,
MR2G,https://pubmed.ncbi.nlm.nih.gov/42189912/,
SNP-Heritability Ancestral Method,https://pubmed.ncbi.nlm.nih.gov/42244626/,
Kernel-smoothed Permutation,https://pubmed.ncbi.nlm.nih.gov/42114112/,
GAPIT4,https://pubmed.ncbi.nlm.nih.gov/42047095/,
Causal Gene Identification,https://pubmed.ncbi.nlm.nih.gov/41843578/,
lassosum,10.1002/gepi.22050,
megaPRS,10.1038/s41588-021-00870-7,
GCTA-GREML,10.1038/ng.2310,
SumHer,10.1038/s41588-018-0295-5,
COLOC,10.1371/journal.pgen.1004383,
CAVIAR,10.1534/genetics.114.167908,
PAINTOR,10.1371/journal.pgen.1004722,
GSMR,10.1038/s41588-017-0010-x,
Steiger Filtering,10.1371/journal.pgen.1007081,
CAUSE,10.1038/s41588-020-0631-4,
BOLT-LMM,10.1038/ng.3190,
SAIGE,10.1038/s41588-018-0184-y,
GCTA-COJO,10.1038/ng.2213,
METAL,10.1093/bioinformatics/btq340,
FUMA,10.1038/s41467-017-01261-5,
PrediXcan,10.1038/ng.3367,
S-PrediXcan,10.1371/journal.pgen.1007586,
FUSION,10.1038/ng.3506,
eCAVIAR,10.1016/j.ajhg.2016.10.003,
MAGMA,10.1371/journal.pcbi.1004219,
PRS-CSx,10.1038/s41588-022-01054-7,
